AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,3,25,CUNDINAMARCA,25368,JERUSALEN,38,2407,"0,0158"
2021,1,25,CUNDINAMARCA,25019,ALBAN,293,7152,"0,041"
2021,2,63,QUINDIO,63302,GENOVA,88,7536,"0,0117"
2022,3,73,TOLIMA,73624,ROVIRA,385,21600,"0,0178"
2021,2,05,ANTIOQUIA,05690,SANTO DOMINGO,513,12515,"0,041"
2021,2,41,HUILA,41298,GARZON,5975,74758,"0,0799"
2021,2,15,BOYACA,15248,EL ESPINO,17,3076,"0,0055"
2022,1,68,SANTANDER,68745,SIMACOTA,28,10418,"0,0027"
2020,4,73,TOLIMA,73030,AMBALEMA,36,6561,"0,0055"
2021,2,54,NORTE DE SANTANDER,54680,SANTIAGO,18,3718,"0,0048"
2021,2,15,BOYACA,15511,PACHAVITA,11,2458,"0,0045"
2021,2,27,CHOCO,27810,UNION PANAMERICANA,34,7040,"0,0048"
2022,1,08,ATLANTICO,08436,MANATI,861,22090,"0,039"
2022,3,68,SANTANDER,68327,GsEPSA,193,5409,"0,0357"
2022,1,15,BOYACA,15861,VENTAQUEMADA,127,16313,"0,0078"
2021,2,05,ANTIOQUIA,05697,EL SANTUARIO,5801,37173,"0,1561"
2021,2,05,ANTIOQUIA,05318,GUARNE,10649,59073,"0,1803"
2022,1,08,ATLANTICO,08520,PALMAR DE VARELA,1487,31969,"0,0465"
2021,1,52,NARI�O,52683,SANDONA,296,19765,"0,015"
2021,1,25,CUNDINAMARCA,25799,TENJO,3305,25053,"0,1319"
2021,2,13,BOLIVAR,13838,TURBANA,596,17669,"0,0337"
2022,1,27,CHOCO,27135,EL CANTON DEL SAN PABLO,21,6388,"0,0033"
2021,3,73,TOLIMA,73678,SAN LUIS,313,13489,"0,0232"
2021,2,76,VALLE DEL CAUCA,76122,CAICEDONIA,3375,28674,"0,1177"
2021,3,15,BOYACA,15500,OICATA,38,2911,"0,0131"
2021,1,50,META,50313,GRANADA,2934,71174,"0,0412"
2022,1,68,SANTANDER,68266,ENCISO,40,3510,"0,0114"
2022,1,05,ANTIOQUIA,05353,HISPANIA,583,5765,"0,1011"
2021,2,05,ANTIOQUIA,05885,YALI,231,7800,"0,0296"
2021,3,73,TOLIMA,73349,HONDA,4795,24611,"0,1948"
2021,3,44,LA GUAJIRA,44430,MAICAO,11510,189285,"0,0608"
2021,2,15,BOYACA,15296,GAMEZA,55,4885,"0,0113"
2021,1,15,BOYACA,15425,MACANAL,31,5108,"0,0061"
2021,1,85,CASANARE,85315,SACAMA,112,2078,"0,0539"
2021,1,05,ANTIOQUIA,05667,SAN RAFAEL,1423,15906,"0,0895"
2022,1,05,ANTIOQUIA,05091,BETANIA,906,10605,"0,0854"
2022,3,17,CALDAS,17433,MANZANARES,635,18106,"0,0351"
2022,3,70,SUCRE,70678,SAN BENITO ABAD,18,30495,"0,0006"
2021,2,54,NORTE DE SANTANDER,54518,PAMPLONA,6499,54647,"0,1189"
2021,3,52,NARI�O,52418,LOS ANDES,535,9266,"0,0577"
2022,2,76,VALLE DEL CAUCA,76147,CARTAGO,26819,139026,"0,1929"
2021,3,70,SUCRE,70001,SINCELEJO,42814,298062,"0,1436"
2022,2,05,ANTIOQUIA,05790,TARAZA,3168,28868,"0,1097"
2021,3,41,HUILA,41016,AIPE,345,16685,"0,0207"
2021,3,05,ANTIOQUIA,05234,DABEIBA,1671,23874,"0,07"
2021,3,19,CAUCA,19110,BUENOS AIRES,82,32311,"0,0025"
2022,1,15,BOYACA,15455,MIRAFLORES,1045,9136,"0,1144"
2022,3,25,CUNDINAMARCA,25312,GRANADA,483,8505,"0,0568"
2021,2,05,ANTIOQUIA,05604,REMEDIOS,2541,30094,"0,0844"
2022,3,25,CUNDINAMARCA,25168,CHAGUANI,19,4680,"0,0041"
2021,2,47,MAGDALENA,47720,SANTA BARBARA DE PINTO,460,11470,"0,0401"
2021,1,68,SANTANDER,68575,PUERTO WILCHES,2148,34585,"0,0621"
2021,3,68,SANTANDER,68855,VALLE DE SAN JOSE,23,6406,"0,0036"
2021,2,25,CUNDINAMARCA,25126,CAJICA,26555,96678,"0,2747"
2021,3,13,BOLIVAR,13580,REGIDOR,100,7334,"0,0136"
2021,2,54,NORTE DE SANTANDER,54660,SALAZAR,33,10875,"0,003"
2021,3,66,RISARALDA,66594,QUINCHIA,674,27484,"0,0245"
2021,3,63,QUINDIO,63111,BUENAVISTA,38,3166,"0,012"
2021,3,25,CUNDINAMARCA,25781,SUTATAUSA,247,6697,"0,0369"
2021,2,05,ANTIOQUIA,05051,ARBOLETES,1694,30984,"0,0547"
2021,3,05,ANTIOQUIA,05792,TARSO,526,6328,"0,0831"
2021,3,73,TOLIMA,73148,CARMEN DE APICALA,287,10479,"0,0274"
2021,3,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,1643,33965,"0,0484"
2021,3,63,QUINDIO,63212,CORDOBA,403,5807,"0,0694"
2020,1,05,ANTIOQUIA,05045,APARTADO,20291,127744,"0,1588"
2022,3,15,BOYACA,15469,MONIQUIRA,1620,23346,"0,0694"
2022,3,85,CASANARE,85139,MANI,401,17737,"0,0226"
2021,3,15,BOYACA,15051,ARCABUCO,346,6021,"0,0575"
2021,2,25,CUNDINAMARCA,25612,RICAURTE,3735,14941,"0,25"
2021,2,68,SANTANDER,68861,VELEZ,744,25498,"0,0292"
2021,1,15,BOYACA,15223,CUBARA,134,10828,"0,0124"
2021,1,05,ANTIOQUIA,05480,MUTATA,1157,14612,"0,0792"
2021,3,20,CESAR,20011,AGUACHICA,11918,121140,"0,0984"
2021,1,63,QUINDIO,63130,CALARCA,12256,75796,"0,1617"
2022,1,05,ANTIOQUIA,05237,DON MATIAS,4327,20328,"0,2129"
2021,2,70,SUCRE,70702,SAN JUAN DE BETULIA,904,14387,"0,0628"
2021,1,86,PUTUMAYO,86755,SAN FRANCISCO,232,5643,"0,0411"
2021,4,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,7689,48774,"0,1576"
2021,1,76,VALLE DEL CAUCA,76890,YOTOCO,1035,16284,"0,0636"
2022,1,18,CAQUETA,18029,ALBANIA,24,4489,"0,0053"
2021,3,70,SUCRE,70670,SAMPUES,2307,49501,"0,0466"
2021,3,70,SUCRE,70717,SAN PEDRO,396,19475,"0,0203"
2021,1,68,SANTANDER,68705,SANTA BARBARA,23,2475,"0,0093"
2022,3,54,NORTE DE SANTANDER,54313,GRAMALOTE,336,7840,"0,0429"
2021,2,52,NARI�O,52490,OLAYA HERRERA,96,25204,"0,0038"
2021,3,54,NORTE DE SANTANDER,54720,SARDINATA,655,27171,"0,0241"
2021,2,73,TOLIMA,73217,COYAIMA,423,22553,"0,0188"
2022,1,68,SANTANDER,68176,CHIMA,53,2920,"0,0182"
2022,3,17,CALDAS,17042,ANSERMA,4004,37335,"0,1072"
2021,2,76,VALLE DEL CAUCA,76890,YOTOCO,1087,16284,"0,0668"
2021,3,27,CHOCO,27580,RIO IRO,10,5638,"0,0018"
2021,2,08,ATLANTICO,08549,PIOJO,21,7216,"0,0029"
2021,3,18,CAQUETA,18001,FLORENCIA,26620,174839,"0,1523"
2021,2,68,SANTANDER,68820,TONA,284,7805,"0,0364"
2021,1,25,CUNDINAMARCA,25377,LA CALERA,8348,34224,"0,2439"
2021,1,25,CUNDINAMARCA,25518,PAIME,28,4449,"0,0063"
2022,1,23,CORDOBA,23417,LORICA,4867,117188,"0,0415"
2022,1,68,SANTANDER,68162,CERRITO,315,7063,"0,0446"
2021,3,19,CAUCA,19585,PURACE,97,17709,"0,0055"
2021,3,50,META,50001,VILLAVICENCIO,109665,549922,"0,1994"
2021,3,52,NARI�O,52506,OSPINA,276,6991,"0,0395"
2021,3,15,BOYACA,15822,TOTA,50,5270,"0,0095"
2021,2,68,SANTANDER,68432,MALAGA,909,21912,"0,0415"
2021,1,47,MAGDALENA,47541,PEDRAZA,10,9432,"0,0011"
2022,1,15,BOYACA,15212,COPER,8,3619,"0,0022"
2021,3,44,LA GUAJIRA,44279,FONSECA,5159,45558,"0,1132"
2022,3,47,MAGDALENA,47703,SAN ZENON,39,12757,"0,0031"
2022,1,05,ANTIOQUIA,05679,SANTA BARBARA,2856,28034,"0,1019"
2022,1,52,NARI�O,52506,OSPINA,266,6999,"0,038"
2022,1,05,ANTIOQUIA,05234,DABEIBA,1673,24242,"0,069"
2021,1,15,BOYACA,15022,ALMEIDA,8,1820,"0,0044"
2021,1,25,CUNDINAMARCA,25290,FUSAGASUGA,35486,160296,"0,2214"
2021,3,41,HUILA,41548,PITAL,431,14041,"0,0307"
2022,1,15,BOYACA,15572,PUERTO BOYACA,5805,48930,"0,1186"
2021,2,47,MAGDALENA,47980,ZONA BANANERA,587,75081,"0,0078"
2021,2,68,SANTANDER,68679,SAN GIL,8971,60342,"0,1487"
2021,3,54,NORTE DE SANTANDER,54223,CUCUTILLA,152,8591,"0,0177"
2021,3,76,VALLE DEL CAUCA,76863,VERSALLES,269,6987,"0,0385"
2021,1,15,BOYACA,15238,DUITAMA,30401,127592,"0,2383"
2021,1,25,CUNDINAMARCA,25851,UTICA,113,4610,"0,0245"
2021,3,73,TOLIMA,73671,SALDA�A,197,14514,"0,0136"
2021,3,68,SANTANDER,68001,BUCARAMANGA,160230,614269,"0,2608"
2021,4,70,SUCRE,70742,SAN LUIS DE SINCE,1352,32343,"0,0418"
2022,1,15,BOYACA,15686,SANTANA,202,7814,"0,0259"
2021,1,76,VALLE DEL CAUCA,76109,BUENAVENTURA,29624,313508,"0,0945"
2021,2,20,CESAR,20517,PAILITAS,699,20114,"0,0348"
2021,3,05,ANTIOQUIA,05591,PUERTO TRIUNFO,1747,19268,"0,0907"
2022,3,15,BOYACA,15368,JERICO,47,3941,"0,0119"
2022,1,25,CUNDINAMARCA,25426,MACHETA,99,6733,"0,0147"
2022,1,50,META,50318,GUAMAL,1187,14697,"0,0808"
2021,2,13,BOLIVAR,13683,SANTA ROSA,322,22740,"0,0142"
2021,3,25,CUNDINAMARCA,25754,SOACHA,142463,783632,"0,1818"
2021,2,23,CORDOBA,23586,PURISIMA,184,17731,"0,0104"
2021,2,52,NARI�O,52683,SANDONA,476,19765,"0,0241"
2021,1,15,BOYACA,15580,QUIPAMA,19,5017,"0,0038"
2021,1,15,BOYACA,15293,GACHANTIVA,31,2798,"0,0111"
2021,1,85,CASANARE,85139,MANI,202,17624,"0,0115"
2021,4,47,MAGDALENA,47001,SANTA MARTA,103941,546979,"0,19"
2021,3,05,ANTIOQUIA,05631,SABANETA,39697,89364,"0,4442"
2022,1,15,BOYACA,15442,MARIPI,16,5759,"0,0028"
2022,1,25,CUNDINAMARCA,25151,CAQUEZA,1349,19257,"0,0701"
2021,1,13,BOLIVAR,13212,CORDOBA,213,16714,"0,0127"
2021,2,27,CHOCO,27495,NUQUI,534,16780,"0,0318"
2022,1,76,VALLE DEL CAUCA,76400,LA UNION,5015,34933,"0,1436"
2021,1,23,CORDOBA,23466,MONTELIBANO,3656,86603,"0,0422"
2022,1,68,SANTANDER,68318,GUACA,381,6020,"0,0633"
2022,1,47,MAGDALENA,47258,EL PI�ON,171,24699,"0,0069"
2021,3,13,BOLIVAR,13894,ZAMBRANO,560,12502,"0,0448"
2021,2,86,PUTUMAYO,86219,COLON,147,5606,"0,0262"
2021,2,13,BOLIVAR,13894,ZAMBRANO,554,12502,"0,0443"
2021,2,85,CASANARE,85162,MONTERREY,1428,18175,"0,0786"
2021,3,25,CUNDINAMARCA,25324,GUATAQUI,86,2882,"0,0298"
2021,2,15,BOYACA,15180,CHISCAS,67,3914,"0,0171"
2022,3,66,RISARALDA,66075,BALBOA,166,6406,"0,0259"
2022,1,81,ARAUCA,81300,FORTUL,50,20883,"0,0024"
2022,3,44,LA GUAJIRA,44874,VILLANUEVA,555,30344,"0,0183"
2021,2,05,ANTIOQUIA,05380,LA ESTRELLA,21463,76704,"0,2798"
2021,2,15,BOYACA,15646,SAMACA,1004,18955,"0,053"
2021,3,23,CORDOBA,23672,SAN ANTERO,2195,35328,"0,0621"
2022,1,20,CESAR,20383,LA GLORIA,269,19105,"0,0141"
2022,1,05,ANTIOQUIA,05150,CAROLINA,443,4096,"0,1082"
2021,3,17,CALDAS,17867,VICTORIA,517,10440,"0,0495"
2021,3,15,BOYACA,15533,PAYA,15,2654,"0,0057"
2021,2,27,CHOCO,27006,ACANDI,871,14274,"0,061"
2021,1,13,BOLIVAR,13160,CANTAGALLO,42,8824,"0,0048"
2021,3,15,BOYACA,15464,MONGUA,51,4652,"0,011"
2021,1,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,2393,73653,"0,0325"
2021,2,68,SANTANDER,68573,PUERTO PARRA,317,8107,"0,0391"
2021,1,05,ANTIOQUIA,05380,LA ESTRELLA,21056,76704,"0,2745"
2021,2,41,HUILA,41244,ELIAS,12,4336,"0,0028"
2021,1,27,CHOCO,27580,RIO IRO,9,5638,"0,0016"
2021,3,47,MAGDALENA,47058,ARIGUANI,846,32281,"0,0262"
2021,1,05,ANTIOQUIA,05495,NECHI,742,27784,"0,0267"
2021,1,05,ANTIOQUIA,05887,YARUMAL,2930,43340,"0,0676"
2021,3,15,BOYACA,15516,PAIPA,6752,34931,"0,1933"
2021,3,08,ATLANTICO,08832,TUBARA,228,19187,"0,0119"
2021,2,86,PUTUMAYO,86755,SAN FRANCISCO,222,5643,"0,0393"
2021,3,25,CUNDINAMARCA,25175,CHIA,42065,155541,"0,2704"
2022,2,95,GUAVIARE,95025,EL RETORNO,57,14306,"0,004"
2021,3,08,ATLANTICO,08001,BARRANQUILLA,274790,1297082,"0,2119"
2022,3,15,BOYACA,15516,PAIPA,7555,35153,"0,2149"
2022,2,50,META,50251,EL CASTILLO,22,7527,"0,0029"
2022,1,54,NORTE DE SANTANDER,54128,CACHIRA,20,11410,"0,0018"
2022,1,50,META,50223,CUBARRAL,312,7182,"0,0434"
2021,3,05,ANTIOQUIA,05093,BETULIA,1279,16143,"0,0792"
2021,3,18,CAQUETA,18205,CURILLO,36,7854,"0,0046"
2021,1,85,CASANARE,85001,YOPAL,36316,179355,"0,2025"
2021,3,18,CAQUETA,18410,LA MONTA�ITA,533,14844,"0,0359"
2021,3,15,BOYACA,15226,CUITIVA,62,1823,"0,034"
2021,1,54,NORTE DE SANTANDER,54520,PAMPLONITA,111,5872,"0,0189"
2022,1,05,ANTIOQUIA,05031,AMALFI,1410,27921,"0,0505"
2022,1,15,BOYACA,15820,TOPAGA,45,3747,"0,012"
2021,3,23,CORDOBA,23670,SAN ANDRES SOTAVENTO,707,48434,"0,0146"
2021,2,73,TOLIMA,73770,SUAREZ,160,3783,"0,0423"
2021,2,73,TOLIMA,73686,SANTA ISABEL,33,5689,"0,0058"
2021,3,25,CUNDINAMARCA,25372,JUNIN,134,6315,"0,0212"
2021,1,25,CUNDINAMARCA,25486,NEMOCON,1477,15109,"0,0978"
2022,1,25,CUNDINAMARCA,25779,SUSA,401,7579,"0,0529"
2022,1,68,SANTANDER,68250,EL PE�ON,19,5610,"0,0034"
2021,4,50,META,50568,PUERTO GAITAN,2831,43974,"0,0644"
2021,4,25,CUNDINAMARCA,25175,CHIA,43674,155541,"0,2808"
2022,1,19,CAUCA,19622,ROSAS,9,11724,"0,0008"
2021,3,68,SANTANDER,68682,SAN JOAQUIN,13,2232,"0,0058"
2021,3,47,MAGDALENA,47798,TENERIFE,825,13710,"0,0602"
2021,1,50,META,50124,CABUYARO,46,6243,"0,0074"
2022,1,68,SANTANDER,68547,PIEDECUESTA,39804,186435,"0,2135"
2021,3,50,META,50573,PUERTO LOPEZ,2350,30563,"0,0769"
2022,1,13,BOLIVAR,13440,MARGARITA,49,11392,"0,0043"
2021,2,15,BOYACA,15442,MARIPI,19,5723,"0,0033"
2021,1,25,CUNDINAMARCA,25183,CHOCONTA,1391,23163,"0,0601"
2022,2,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1858,17533,"0,106"
2021,1,73,TOLIMA,73319,GUAMO,3691,32864,"0,1123"
2021,4,25,CUNDINAMARCA,25151,CAQUEZA,1287,18669,"0,0689"
2022,1,52,NARI�O,52227,CUMBAL,104,37072,"0,0028"
2022,2,15,BOYACA,15368,JERICO,45,3941,"0,0114"
2021,2,25,CUNDINAMARCA,25394,LA PALMA,145,10200,"0,0142"
2021,1,05,ANTIOQUIA,05789,TAMESIS,1481,16452,"0,09"
2021,2,68,SANTANDER,68271,FLORIAN,27,5651,"0,0048"
2021,1,23,CORDOBA,23660,SAHAGUN,7046,111135,"0,0634"
2022,1,13,BOLIVAR,13430,MAGANGUE,5831,143710,"0,0406"
2022,1,68,SANTANDER,68264,ENCINO,9,2632,"0,0034"
2021,3,66,RISARALDA,66572,PUEBLO RICO,403,16577,"0,0243"
2021,1,44,LA GUAJIRA,44098,DISTRACCION,381,14572,"0,0261"
2021,3,50,META,50150,CASTILLA LA NUEVA,1493,16041,"0,0931"
2022,3,19,CAUCA,19022,ALMAGUER,12,18468,"0,0006"
2022,1,25,CUNDINAMARCA,25436,MANTA,92,4175,"0,022"
2021,3,15,BOYACA,15466,MONGUI,108,4322,"0,025"
2022,1,05,ANTIOQUIA,05134,CAMPAMENTO,454,9531,"0,0476"
2022,3,23,CORDOBA,23419,LOS CORDOBAS,133,19607,"0,0068"
2021,3,23,CORDOBA,23182,CHINU,3586,49092,"0,073"
2021,3,25,CUNDINAMARCA,25339,GUTIERREZ,16,3709,"0,0043"
2022,2,05,ANTIOQUIA,05893,YONDO,1479,20741,"0,0713"
2021,3,15,BOYACA,15600,RAQUIRA,127,8085,"0,0157"
2021,3,68,SANTANDER,68077,BARBOSA,4058,33021,"0,1229"
2022,3,27,CHOCO,27135,EL CANTON DEL SAN PABLO,24,6388,"0,0038"
2021,1,52,NARI�O,52621,ROBERTO PAYAN,160,12693,"0,0126"
2021,2,25,CUNDINAMARCA,25769,SUBACHOQUE,1845,17408,"0,106"
2021,1,19,CAUCA,19533,PIAMONTE,29,9335,"0,0031"
2021,3,68,SANTANDER,68209,CONFINES,288,3330,"0,0865"
2021,2,68,SANTANDER,68152,CARCASI,19,4306,"0,0044"
2021,2,68,SANTANDER,68444,MATANZA,224,5091,"0,044"
2021,2,81,ARAUCA,81300,FORTUL,1065,20629,"0,0516"
2022,2,68,SANTANDER,68679,SAN GIL,12244,60804,"0,2014"
2021,4,25,CUNDINAMARCA,25320,GUADUAS,1370,34531,"0,0397"
2022,1,15,BOYACA,15322,GUATEQUE,169,11051,"0,0153"
2021,2,25,CUNDINAMARCA,25530,PARATEBUENO,72,9584,"0,0075"
2022,2,15,BOYACA,15367,JENESANO,182,7437,"0,0245"
2022,1,15,BOYACA,15537,PAZ DE RIO,250,4254,"0,0588"
2021,2,05,ANTIOQUIA,05059,ARMENIA,1081,5153,"0,2098"
2021,1,73,TOLIMA,73270,FALAN,54,7407,"0,0073"
2021,1,52,NARI�O,52838,TUQUERRES,1111,44565,"0,0249"
2021,4,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,2445,24597,"0,0994"
2021,2,25,CUNDINAMARCA,25489,NIMAIMA,49,3912,"0,0125"
2021,1,05,ANTIOQUIA,05284,FRONTINO,1784,21021,"0,0849"
2021,2,05,ANTIOQUIA,05642,SALGAR,736,18544,"0,0397"
2021,2,08,ATLANTICO,08634,SABANAGRANDE,4089,35720,"0,1145"
2021,1,68,SANTANDER,68432,MALAGA,1184,21912,"0,054"
2022,1,15,BOYACA,15533,PAYA,11,2670,"0,0041"
2021,2,50,META,50001,VILLAVICENCIO,110215,549922,"0,2004"
2021,1,15,BOYACA,15403,LA UVITA,12,2749,"0,0044"
2021,2,05,ANTIOQUIA,05107,BRICE�O,442,8246,"0,0536"
2021,2,63,QUINDIO,63470,MONTENEGRO,5575,37966,"0,1468"
2021,2,50,META,50110,BARRANCA DE UPIA,396,6632,"0,0597"
2021,2,19,CAUCA,19622,ROSAS,3170,11631,"0,2725"
2022,1,68,SANTANDER,68444,MATANZA,160,5130,"0,0312"
2021,1,73,TOLIMA,73411,LIBANO,2569,36332,"0,0707"
2021,1,66,RISARALDA,66075,BALBOA,89,6346,"0,014"
2022,1,94,GUAINIA,94883,SAN FELIPE,25,1758,"0,0142"
2021,3,47,MAGDALENA,47258,EL PI�ON,373,24457,"0,0153"
2021,2,13,BOLIVAR,13549,PINILLOS,57,25066,"0,0023"
2022,2,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,1533,34224,"0,0448"
2021,2,41,HUILA,41306,GIGANTE,1139,24929,"0,0457"
2021,2,20,CESAR,20383,LA GLORIA,45,18831,"0,0024"
2021,1,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,2287,24597,"0,093"
2021,3,13,BOLIVAR,13683,SANTA ROSA,313,22740,"0,0138"
2021,1,52,NARI�O,52258,EL TABLON DE GOMEZ,137,14258,"0,0096"
2022,1,47,MAGDALENA,47745,SITIONUEVO,589,29905,"0,0197"
2021,1,25,CUNDINAMARCA,25649,SAN BERNARDO,25,9341,"0,0027"
2021,1,85,CASANARE,85400,TAMARA,42,6627,"0,0063"
2021,2,41,HUILA,41660,SALADOBLANCO,12,10654,"0,0011"
2022,1,86,PUTUMAYO,86885,VILLAGARZON,313,24759,"0,0126"
2022,1,25,CUNDINAMARCA,25867,VIANI,61,5005,"0,0122"
2022,1,91,AMAZONAS,91540,PUERTO NARI�O,33,10705,"0,0031"
2021,2,41,HUILA,41872,VILLAVIEJA,35,7299,"0,0048"
2021,3,50,META,50330,MESETAS,270,10516,"0,0257"
2021,2,25,CUNDINAMARCA,25506,VENECIA,21,4626,"0,0045"
2022,1,68,SANTANDER,68861,VELEZ,562,25693,"0,0219"
2022,1,68,SANTANDER,68235,EL CARMEN DE CHUCURI,235,22230,"0,0106"
2022,1,15,BOYACA,15835,TURMEQUE,146,6239,"0,0234"
2022,1,15,BOYACA,15804,TIBANA,222,9242,"0,024"
2021,2,25,CUNDINAMARCA,25001,AGUA DE DIOS,1122,12813,"0,0876"
2021,3,41,HUILA,41378,LA ARGENTINA,823,13272,"0,062"
2021,3,63,QUINDIO,63190,CIRCASIA,5335,29413,"0,1814"
2021,2,41,HUILA,41013,AGRADO,146,9010,"0,0162"
2021,2,15,BOYACA,15507,OTANCHE,316,8061,"0,0392"
2022,1,52,NARI�O,52354,IMUES,276,7452,"0,037"
2020,2,17,CALDAS,17665,SAN JOSE,151,4916,"0,0307"
2021,2,15,BOYACA,15368,JERICO,94,3917,"0,024"
2020,4,05,ANTIOQUIA,05282,FREDONIA,2048,24754,"0,0827"
2021,2,73,TOLIMA,73671,SALDA�A,211,14514,"0,0145"
2022,1,27,CHOCO,27745,SIPI,20,3271,"0,0061"
2021,2,47,MAGDALENA,47170,CHIBOLO,291,23751,"0,0123"
2022,3,05,ANTIOQUIA,05308,GIRARDOTA,10445,56148,"0,186"
2022,3,05,ANTIOQUIA,05107,BRICE�O,652,8373,"0,0779"
2021,1,41,HUILA,41668,SAN AGUSTIN,1165,34010,"0,0343"
2021,1,63,QUINDIO,63001,ARMENIA,88253,308463,"0,2861"
2021,3,66,RISARALDA,66687,SANTUARIO,1548,12530,"0,1235"
2021,2,41,HUILA,41357,IQUIRA,502,9422,"0,0533"
2021,2,68,SANTANDER,68773,SUCRE,24,7142,"0,0034"
2022,3,47,MAGDALENA,47551,PIVIJAY,3000,39962,"0,0751"
2021,2,25,CUNDINAMARCA,25781,SUTATAUSA,323,6697,"0,0482"
2022,1,70,SUCRE,70215,COROZAL,7232,72582,"0,0996"
2021,1,68,SANTANDER,68855,VALLE DE SAN JOSE,23,6406,"0,0036"
2022,1,47,MAGDALENA,47318,GUAMAL,816,28626,"0,0285"
2022,1,27,CHOCO,27245,EL CARMEN DE ATRATO,77,8343,"0,0092"
2021,1,25,CUNDINAMARCA,25898,ZIPACON,35,5221,"0,0067"
2021,2,25,CUNDINAMARCA,25154,CARMEN DE CARUPA,541,8255,"0,0655"
2021,2,68,SANTANDER,68266,ENCISO,43,3483,"0,0123"
2022,3,41,HUILA,41244,ELIAS,11,4371,"0,0025"
2021,1,05,ANTIOQUIA,05631,SABANETA,38288,89364,"0,4284"
2021,2,73,TOLIMA,73622,RONCESVALLES,212,5494,"0,0386"
2021,3,05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,4498,38463,"0,1169"
2021,2,54,NORTE DE SANTANDER,54347,HERRAN,180,7426,"0,0242"
2021,1,76,VALLE DEL CAUCA,76122,CAICEDONIA,3339,28674,"0,1164"
2022,2,50,META,50606,RESTREPO,2951,18958,"0,1557"
2021,1,76,VALLE DEL CAUCA,76020,ALCALA,1256,14375,"0,0874"
2022,3,15,BOYACA,15176,CHIQUINQUIRA,5017,58726,"0,0854"
2022,1,05,ANTIOQUIA,05212,COPACABANA,21677,84389,"0,2569"
2022,3,25,CUNDINAMARCA,25394,LA PALMA,339,10521,"0,0322"
2021,3,52,NARI�O,52699,SANTACRUZ,41,11074,"0,0037"
2022,1,25,CUNDINAMARCA,25335,GUAYABETAL,299,7232,"0,0413"
2021,3,15,BOYACA,15720,SATIVANORTE,18,2168,"0,0083"
2021,2,68,SANTANDER,68079,BARICHARA,809,10935,"0,074"
2022,1,15,BOYACA,15332,GsICAN,14,4359,"0,0032"
2021,3,19,CAUCA,19622,ROSAS,69,11631,"0,0059"
2021,2,68,SANTANDER,68077,BARBOSA,3583,33021,"0,1085"
2021,2,41,HUILA,41078,BARAYA,37,8337,"0,0044"
2021,1,68,SANTANDER,68669,SAN ANDRES,40,8691,"0,0046"
2021,3,47,MAGDALENA,47318,GUAMAL,429,28346,"0,0151"
2022,1,20,CESAR,20175,CHIMICHAGUA,279,37519,"0,0074"
2021,1,15,BOYACA,15531,PAUNA,113,7263,"0,0156"
2021,4,44,LA GUAJIRA,44001,RIOHACHA,28528,206435,"0,1382"
2021,2,17,CALDAS,17877,VITERBO,2392,12963,"0,1845"
2021,3,68,SANTANDER,68079,BARICHARA,824,10935,"0,0754"
2021,2,66,RISARALDA,66088,BELEN DE UMBRIA,2029,24899,"0,0815"
2021,1,25,CUNDINAMARCA,25269,FACATATIVA,23645,162205,"0,1458"
2021,1,19,CAUCA,19418,LOPEZ,143,19086,"0,0075"
2021,1,25,CUNDINAMARCA,25200,COGUA,2198,25404,"0,0865"
2021,1,25,CUNDINAMARCA,25736,SESQUILE,1244,13147,"0,0946"
2021,1,05,ANTIOQUIA,05893,YONDO,1180,20426,"0,0578"
2022,1,15,BOYACA,15798,TENZA,9,3872,"0,0023"
2021,1,05,ANTIOQUIA,05079,BARBOSA,8170,55201,"0,148"
2021,2,15,BOYACA,15185,CHITARAQUE,26,5906,"0,0044"
2021,3,25,CUNDINAMARCA,25286,FUNZA,23328,109281,"0,2135"
2021,2,54,NORTE DE SANTANDER,54125,CACOTA,55,2954,"0,0186"
2022,2,13,BOLIVAR,13894,ZAMBRANO,201,12634,"0,0159"
2021,3,25,CUNDINAMARCA,25530,PARATEBUENO,62,9584,"0,0065"
2021,3,25,CUNDINAMARCA,25295,GACHANCIPA,2478,20150,"0,123"
2021,2,15,BOYACA,15808,TINJACA,125,3375,"0,037"
2022,1,25,CUNDINAMARCA,25530,PARATEBUENO,65,9886,"0,0066"
2021,2,23,CORDOBA,23001,MONTERIA,66043,509558,"0,1296"
2021,3,76,VALLE DEL CAUCA,76318,GUACARI,3475,33759,"0,1029"
2021,2,15,BOYACA,15226,CUITIVA,49,1823,"0,0269"
2021,3,17,CALDAS,17013,AGUADAS,1228,23245,"0,0528"
2022,2,25,CUNDINAMARCA,25175,CHIA,43135,160435,"0,2689"
