AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,4,05,ANTIOQUIA,05604,REMEDIOS,4597,30094,"0,1528"
2021,4,63,QUINDIO,63111,BUENAVISTA,42,3166,"0,0133"
2021,4,25,CUNDINAMARCA,25662,SAN JUAN DE RIO SECO,398,8876,"0,0448"
2021,4,70,SUCRE,70400,LA UNION,359,13176,"0,0272"
2021,4,52,NARI�O,52399,LA UNION,407,31744,"0,0128"
2021,4,76,VALLE DEL CAUCA,76100,BOLIVAR,668,15798,"0,0423"
2021,4,73,TOLIMA,73616,RIOBLANCO,602,22680,"0,0265"
2019,4,73,TOLIMA,73319,GUAMO,1560,32826,"0,0475"
2021,4,52,NARI�O,52079,BARBACOAS,309,56524,"0,0055"
2021,4,17,CALDAS,17873,VILLAMARIA,13230,68020,"0,1945"
2021,4,54,NORTE DE SANTANDER,54385,LA ESPERANZA,70,12545,"0,0056"
2021,4,86,PUTUMAYO,86568,PUERTO ASIS,2513,68143,"0,0369"
2021,4,27,CHOCO,27050,ATRATO,24,6259,"0,0038"
2021,4,15,BOYACA,15804,TIBANA,226,9184,"0,0246"
2021,4,19,CAUCA,19450,MERCADERES,19,23282,"0,0008"
2022,3,15,BOYACA,15839,TUTAZA,37,2066,"0,0179"
2021,4,50,META,50689,SAN MARTIN,2056,26718,"0,077"
2021,4,05,ANTIOQUIA,05004,ABRIAQUI,155,2777,"0,0558"
